symbol,name,sector,strategy_bucket,quantity,avg_cost,current_price,current_weight
NVDA,NVIDIA Corp,Semiconductors,AI Infrastructure,250,420.00,750.00,0.0844
MSFT,Microsoft Corp,Software,AI Infrastructure,600,298.50,420.00,0.1135
AAPL,Apple Inc,Consumer Tech,Quality Compounders,1200,145.20,190.00,0.1027
TSM,Taiwan Semiconductor,Semiconductors,AI Infrastructure,400,92.50,165.00,0.0297
AVGO,Broadcom Inc,Semiconductors,AI Infrastructure,180,820.00,1480.00,0.1199
GOOGL,Alphabet Inc,Software,Quality Compounders,500,128.00,172.00,0.0387
AMZN,Amazon.com Inc,Software,Quality Compounders,350,135.00,185.00,0.0292
META,Meta Platforms,Software,Quality Compounders,200,310.00,520.00,0.0468
ASML,ASML Holding,Semiconductors,AI Infrastructure,90,680.00,920.00,0.0373
CRM,Salesforce Inc,Software,Quality Compounders,300,205.00,275.00,0.0371
XOM,Exxon Mobil,Energy,Defensive,800,108.00,118.00,0.0425
CVX,Chevron Corp,Energy,Defensive,500,155.00,162.00,0.0364
NEE,NextEra Energy,Energy,Defensive,700,72.00,78.00,0.0246
JPM,JPMorgan Chase,Financials,Defensive,400,148.00,205.00,0.0369
BRKB,Berkshire Hathaway B,Financials,Quality Compounders,250,360.00,445.00,0.0501
